PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Embarked
804;1;3;0;0,42;0;1;C
756;1;2;0;0,67;1;1;S
470;1;3;1;0,75;2;1;C
645;1;3;1;0,75;2;1;C
79;1;2;0;0,83;0;2;S
832;1;2;0;0,83;1;1;S
306;1;1;0;0,92;1;2;S
165;0;3;0;1;4;1;S
173;1;3;1;1;1;1;S
184;1;2;0;1;2;1;S
382;1;3;1;1;0;2;C
387;0;3;0;1;5;2;S
789;1;3;0;1;1;2;S
828;1;2;0;1;0;2;C
8;0;3;0;2;3;1;S
17;0;3;0;2;4;1;Q
120;0;3;1;2;4;2;S
206;0;3;1;2;0;1;S
298;0;1;1;2;1;2;S
341;1;2;0;2;1;1;S
480;1;3;1;2;0;1;S
531;1;2;1;2;1;1;S
643;0;3;1;2;3;2;S
825;0;3;0;2;4;1;S
44;1;2;1;3;1;2;C
194;1;2;0;3;1;1;S
262;1;3;0;3;4;2;S
349;1;3;0;3;1;1;S
375;0;3;1;3;3;1;S
408;1;2;0;3;1;1;S
11;1;3;1;4;1;1;S
64;0;3;0;4;3;2;S
172;0;3;0;4;4;1;Q
185;1;3;1;4;0;2;S
446;1;1;0;4;0;2;S
619;1;2;1;4;2;1;S
692;1;3;1;4;0;1;C
751;1;2;1;4;1;1;S
851;0;3;0;4;4;2;S
870;1;3;0;4;1;1;S
59;1;2;1;5;1;2;S
234;1;3;1;5;4;2;S
449;1;3;1;5;2;1;C
778;1;3;1;5;0;0;S
721;1;2;1;6;0;1;S
752;1;3;0;6;0;1;S
814;0;3;1;6;4;2;S
51;0;3;0;7;4;1;S
279;0;3;0;7;4;1;Q
536;1;2;1;7;0;2;S
25;0;3;1;8;3;1;S
238;1;2;1;8;0;2;S
550;1;2;0;8;1;1;S
788;0;3;0;8;4;1;Q
148;0;3;1;9;2;2;S
166;1;3;0;9;0;2;S
183;0;3;0;9;4;2;S
481;0;3;0;9;5;2;S
490;1;3;0;9;1;1;S
542;0;3;1;9;4;2;S
635;0;3;1;9;3;2;S
853;0;3;1;9;1;1;C
420;0;3;1;10;0;2;S
820;0;3;0;10;3;2;S
60;0;3;0;11;5;2;S
543;0;3;1;11;4;2;S
732;0;3;0;11;0;0;C
803;1;1;0;11;1;2;S
126;1;3;0;12;1;0;C
447;1;2;1;13;0;1;S
781;1;3;1;13;0;0;C
10;1;2;1;14;1;0;C
15;0;3;1;14;0;0;S
40;1;3;1;14;1;0;C
436;1;1;1;14;1;2;S
684;0;3;0;14;5;2;S
687;0;3;0;14;4;1;S
112;0;3;1;14,5;1;0;C
23;1;3;1;15;0;0;Q
353;0;3;0;15;1;1;C
690;1;1;1;15;0;1;S
831;1;3;1;15;1;0;C
876;1;3;1;15;0;0;C
72;0;3;1;16;5;2;S
87;0;3;0;16;1;3;S
139;0;3;0;16;0;0;S
157;1;3;1;16;0;0;Q
209;1;3;1;16;0;0;Q
221;1;3;0;16;0;0;S
267;0;3;0;16;4;1;S
283;0;3;0;16;0;0;S
330;1;1;1;16;0;1;C
334;0;3;0;16;2;0;S
505;1;1;1;16;0;0;S
575;0;3;0;16;0;0;S
747;0;3;0;16;1;1;S
765;0;3;0;16;0;0;S
792;0;2;0;16;0;0;S
842;0;2;0;16;0;0;S
854;1;1;1;16;0;1;S
69;1;3;1;17;4;2;S
85;1;2;1;17;0;0;S
115;0;3;1;17;0;0;C
164;0;3;0;17;0;0;S
308;1;1;1;17;1;0;C
390;1;2;1;17;0;0;C
434;0;3;0;17;0;0;S
501;0;3;0;17;0;0;S
533;0;3;0;17;1;1;C
551;1;1;0;17;0;2;C
722;0;3;0;17;1;0;S
782;1;1;1;17;1;0;S
845;0;3;0;17;0;0;S
39;0;3;1;18;2;0;S
50;0;3;1;18;1;0;S
145;0;2;0;18;0;0;S
176;0;3;0;18;1;1;S
205;1;3;0;18;0;0;S
229;0;2;0;18;0;0;S
312;1;1;1;18;2;2;C
372;0;3;0;18;1;0;S
386;0;2;0;18;0;0;S
418;1;2;1;18;0;2;S
425;0;3;0;18;1;1;S
506;0;1;0;18;1;0;C
586;1;1;1;18;0;2;S
652;1;2;1;18;0;1;S
655;0;3;1;18;0;0;Q
676;0;3;0;18;0;0;S
678;1;3;1;18;0;0;S
689;0;3;0;18;0;0;S
701;1;1;1;18;1;0;C
703;0;3;1;18;0;1;C
758;0;2;0;18;0;0;S
776;0;3;0;18;0;0;S
787;1;3;1;18;0;0;S
808;0;3;1;18;0;0;S
835;0;3;0;18;0;0;S
856;1;3;1;18;0;1;S
28;0;1;0;19;3;2;S
45;1;3;1;19;0;0;Q
68;0;3;0;19;0;0;S
137;1;1;1;19;0;2;S
144;0;3;0;19;0;0;Q
146;0;2;0;19;1;1;S
192;0;2;0;19;0;0;S
193;1;3;1;19;1;0;S
227;1;2;0;19;0;0;S
239;0;2;0;19;0;0;S
284;1;3;0;19;0;0;S
292;1;1;1;19;1;0;C
303;0;3;0;19;0;0;S
373;0;3;0;19;0;0;S
380;0;3;0;19;0;0;S
428;1;2;1;19;0;0;S
547;1;2;1;19;1;0;S
567;0;3;0;19;0;0;S
576;0;3;0;19;0;0;S
647;0;3;0;19;0;0;S
688;0;3;0;19;0;0;S
716;0;3;0;19;0;0;S
749;0;1;0;19;1;0;S
878;0;3;0;19;0;0;S
888;1;1;1;19;0;0;S
13;0;3;0;20;0;0;S
92;0;3;0;20;0;0;S
114;0;3;1;20;1;0;S
132;0;3;0;20;0;0;S
379;0;3;0;20;0;0;C
405;0;3;1;20;0;0;S
442;0;3;0;20;0;0;S
623;1;3;0;20;1;1;C
641;0;3;0;20;0;0;S
665;1;3;0;20;1;0;S
683;0;3;0;20;0;0;S
726;0;3;0;20;0;0;S
763;1;3;0;20;0;0;C
841;0;3;0;20;0;0;S
877;0;3;0;20;0;0;S
228;0;3;0;20,5;0;0;S
38;0;3;0;21;0;0;S
52;0;3;0;21;0;0;S
57;1;2;1;21;0;0;S
73;0;2;0;21;0;0;S
103;0;1;0;21;0;1;S
107;1;3;1;21;0;0;S
116;0;3;0;21;0;0;S
121;0;2;0;21;2;0;S
174;0;3;0;21;0;0;S
392;1;3;0;21;0;0;S
403;0;3;1;21;1;0;S
409;0;3;0;21;0;0;S
422;0;3;0;21;0;0;Q
437;0;3;1;21;2;2;S
492;0;3;0;21;0;0;S
495;0;3;0;21;0;0;S
502;0;3;1;21;0;0;Q
624;0;3;0;21;0;0;S
625;0;3;0;21;0;0;S
628;1;1;1;21;0;0;S
653;0;3;0;21;0;0;S
743;1;1;1;21;2;2;C
837;0;3;0;21;0;0;S
862;0;2;0;21;1;0;S
1;0;3;0;22;1;0;S
61;0;3;0;22;0;0;C
81;0;3;0;22;0;0;S
113;0;3;0;22;0;0;S
142;1;3;1;22;0;0;S
152;1;1;1;22;1;0;S
213;0;3;0;22;0;0;S
226;0;3;0;22;0;0;S
244;0;3;0;22;0;0;S
288;0;3;0;22;0;0;S
290;1;3;1;22;0;0;Q
321;0;3;0;22;0;0;S
324;1;2;1;22;1;1;S
357;1;1;1;22;0;1;S
374;0;1;0;22;0;0;C
377;1;3;1;22;0;0;S
396;0;3;0;22;0;0;S
475;0;3;1;22;0;0;S
479;0;3;0;22;0;0;S
522;0;3;0;22;0;0;S
540;1;1;1;22;0;2;C
554;1;3;0;22;0;0;C
555;1;3;1;22;0;0;S
589;0;3;0;22;0;0;S
609;1;2;1;22;1;2;C
709;1;1;1;22;0;0;S
883;0;3;1;22;0;0;S
89;1;1;1;23;3;2;S
98;1;1;0;23;0;1;C
136;0;2;0;23;0;0;C
351;0;3;0;23;0;0;S
394;1;1;1;23;1;0;C
399;0;2;0;23;0;0;S
474;1;2;1;23;0;0;C
530;0;2;0;23;2;1;S
650;1;3;1;23;0;0;S
659;0;2;0;23;0;0;S
734;0;2;0;23;0;0;S
735;0;2;0;23;0;0;S
754;0;3;0;23;0;0;S
817;0;3;1;23;0;0;S
834;0;3;0;23;0;0;S
297;0;3;0;23,5;0;0;C
90;0;3;0;24;0;0;S
119;0;1;0;24;0;1;C
128;1;3;0;24;0;0;S
140;0;1;0;24;0;0;C
143;1;3;1;24;1;0;S
200;0;2;1;24;0;0;S
211;0;3;0;24;0;0;S
235;0;2;0;24;0;0;S
248;1;2;1;24;0;2;S
294;0;3;1;24;0;0;S
295;0;3;0;24;0;0;S
311;1;1;1;24;0;0;C
317;1;2;1;24;1;0;S
342;1;1;1;24;3;2;S
346;1;2;1;24;0;0;S
370;1;1;1;24;0;0;C
395;1;3;1;24;0;2;S
438;1;2;1;24;2;3;S
500;0;3;0;24;0;0;S
515;0;3;0;24;0;0;S
566;0;3;0;24;2;0;S
601;1;2;1;24;2;1;S
616;1;2;1;24;1;2;S
642;1;1;1;24;0;0;C
656;0;2;0;24;2;0;S
711;1;1;1;24;0;0;C
744;0;3;0;24;1;0;S
771;0;3;0;24;0;0;S
859;1;3;1;24;0;3;C
865;0;2;0;24;0;0;S
677;0;3;0;24,5;0;0;S
76;0;3;0;25;0;0;S
135;0;2;0;25;0;0;S
247;0;3;1;25;0;0;S
268;1;3;0;25;1;0;S
272;1;3;0;25;0;0;S
344;0;2;0;25;0;0;S
354;0;3;0;25;1;0;S
371;1;1;0;25;1;0;C
443;0;3;0;25;1;0;S
485;1;1;0;25;1;0;C
499;0;1;1;25;1;2;S
581;1;2;1;25;1;1;S
667;0;2;0;25;0;0;S
